id;tin;gst;pan
1;Quality-focused;Personal Loan Account Adaptive Plastic;bricks-and-clicks
2;Tasty Frozen Shirt Arkansas New Mexico;XSS;Savings Account
3;Mountain;auxiliary;Re-contextualized
4;National Awesome;connecting Dynamic;Centers Wooden Beauty
5;Fantastic Steel Sausages Riel;portals withdrawal Money Market Account;Rubber
6;New Mexico;Ergonomic compelling circuit;synthesizing maroon Communications
7;Lead alarm knowledge base;black port Nepalese Rupee;extranet
8;brand;Keyboard;hack
9;Via;Netherlands Antillian Guilder orchestration Moldovan Leu;Kids
10;dynamic eyeballs;SSL turn-key;Metal Tasty green
