id;tin;gst;pan;bill_credit_limit;credit_limit;status
1;deposit markets Branch;Human Customizable Hat;calculating;84671;58186;ACTIVE
2;Frozen;District generating;Avon Dominica;54814;70364;DEACTIVE
3;end-to-end Director;EXE;capacitor Digitized;41604;96188;ACTIVE
4;invoice;Fresh Synchronised;Mongolia Grocery JBOD;45524;4838;DEACTIVE
5;firewall Rial Omani;transmitting;navigating salmon;16062;6718;ACTIVE
6;Cambridgeshire primary Tasty;Chief Applications;quantifying overriding Towels;82630;15831;ACTIVE
7;Ethiopian Birr mindshare;extensible withdrawal;Bedfordshire;15193;85012;DEACTIVE
8;US Dollar Persevering Automotive;leverage;sticky Peso Uruguayo Uruguay Peso en Unidades Indexadas;2139;88034;ACTIVE
9;Nebraska Advanced hierarchy;Intelligent invoice deposit;Croatian Kuna Street Berkshire;6635;13353;ACTIVE
10;Practical Accountability Buckinghamshire;Gorgeous networks;Borders IB sticky;70463;33297;ACTIVE
