id;address_1;address_2;city;state;country;zipcode;status
1;adapter e-services;Table Avon;New Ashtyn;Underpass Bucki;Tokelau;Cambridgeshi;DEACTIVE
2;real-time Venezuela models;overriding;Stokesport;Frozen;Heard Island an;models Plain;DEACTIVE
3;convergence;parse matrix protocol;Port Judge;Auto Loan Accou;Austria;Chief;ACTIVE
4;Awesome User-centric;Licensed hardware;Adamsmouth;back up;Congo;program high;DEACTIVE
5;Refined Wooden Chips;deposit;Wildermanmouth;invoice;Mozambique;Alaska Missi;DEACTIVE
6;deposit Granite;systematic Tasty Plastic Chair Fresh;Zulaufstad;Auto Loan Accou;Dominican Repub;Sleek Cotton;DEACTIVE
7;Investment Account Colorado;quantifying;New Anjaliport;SAS;Marshall Island;Home Loan Ac;ACTIVE
8;Kansas;Digitized Agent Plastic;Bradtketown;THX User-friend;United Arab Emi;Intelligent ;DEACTIVE
9;brand;Front-line Checking Account;Hansenport;holistic naviga;Tanzania;Hryvnia;DEACTIVE
10;systematic USB;transmitter auxiliary;East Elmira;instruction set;Guam;HTTP Switzer;ACTIVE
